ID_ALUNO,NU_ANO_CENSO,NO_CURSO,CO_ALUNO_CURSO,CO_ALUNO_CURSO_ORIGEM,TP_SEXO,NU_IDADE
C6245F2D92B2C4B50E7A4E37912A49A5,2019,ADMINISTRAÇÃO,40996489,"",2,35
3681D6BD96ACAC755FD22F95477AABD5,2019,ADMINISTRAÇÃO,40996565,"",2,35
731E8D6AAD32E70B686FF4C3A854D3DE,2019,ADMINISTRAÇÃO,41000488,"",2,31
B7A25B70B2F01BD97D61720CBAAE6BDB,2019,ADMINISTRAÇÃO,40993945,"",2,35
F476397B377824C8A5ED33972158539C,2019,ADMINISTRAÇÃO,41007275,"",1,29
FF5C6400AE6151B4B3F34FD03DFAC416,2019,ADMINISTRAÇÃO,41005108,"",1,30
9EDA3D3E487BF324172601F494C7240D,2019,ADMINISTRAÇÃO,40744384,"",1,31
CC51F33B6220138A8139AA8D9B6A59C5,2019,ADMINISTRAÇÃO,41002468,"",1,32
26D42B7FE3F301DB81C3D6E5F652D0F5,2019,ADMINISTRAÇÃO,40998861,"",2,33
226223DAC7615BA31FEA5DC98F856759,2019,ADMINISTRAÇÃO,41000271,"",2,32
692F21BFE09F78539784DDFC4F5AA5FB,2019,ADMINISTRAÇÃO,41003198,"",1,30
58CA3AF7285DC3AA50AEBEC5074F0157,2019,ADMINISTRAÇÃO,41000370,"",2,34
DE2DE853232AD330D2C285E37798D28E,2019,ADMINISTRAÇÃO,40744510,"",1,29
026DF121C8184019E4C6563BB96223F2,2019,ADMINISTRAÇÃO,40995115,"",2,44
9FB7D03D251114E03C50F447F267DCDB,2019,ADMINISTRAÇÃO,40996347,"",2,34
F47AB361741BF02A66E3F6BFE4866C76,2019,ADMINISTRAÇÃO,40744990,"",2,29
CFF3CFB05D9E0352E80804F5216682DB,2019,ADMINISTRAÇÃO,40998223,"",2,34
3B1ECA0D836F457798877079202A71E0,2019,ADMINISTRAÇÃO,41005604,"",2,29
9DE6B244B6D7FAA1562606025F73F7B4,2019,ADMINISTRAÇÃO,41004788,"",1,30
6DA474E8891C0121EB8F85565ED2E8A8,2019,ADMINISTRAÇÃO,40744016,"",2,36
3DB33ABF2BFAC4F6438292F9BE22097D,2019,ADMINISTRAÇÃO,40994348,"",2,44
8FF422FE8E4B784D2BBB7B0593B1D9D7,2019,ADMINISTRAÇÃO,40996251,"",1,35
113E6D1A2939A69472D28482B2AA4E06,2019,ADMINISTRAÇÃO,40996987,"",2,34
D90233DBA33059AFEA167D7A8B2D3626,2019,ADMINISTRAÇÃO,40997173,"",2,31
E5412EB3BB07F99B307CBA7AF1E162D4,2019,ADMINISTRAÇÃO,40993663,"",2,31
8F7A97B415E264F391156C1D613953E0,2019,ADMINISTRAÇÃO,40993653,"",1,37
1DAD931C940A5E9CA40F7DF29D92DBAA,2019,ADMINISTRAÇÃO,41001714,"",2,31
CA664600CBA3F0659B1B1D23683CA86A,2019,ADMINISTRAÇÃO,40998607,"",2,34
1072CE09AC370E70D78F9B11D75303D4,2019,ADMINISTRAÇÃO,41004635,"",2,28
93137129C4A4BBF7BA8D62F793A6D339,2019,ADMINISTRAÇÃO,46951250,"",1,29
6F65FB9E75318F718C1C3EFC6538EB68,2019,ADMINISTRAÇÃO,41002699,"",2,31
F70977C7C983457B419A6D3823989147,2019,ADMINISTRAÇÃO,41000141,"",2,31
3252EC9BD645FFA7C6A97FB3403EF1DB,2019,ADMINISTRAÇÃO,40744332,"",1,29
D0BFE65A828938A2EBF59D9220C466C8,2019,ADMINISTRAÇÃO,40744250,"",1,32
E63DD3A0A88F295663B0B8A3800F8E91,2019,ADMINISTRAÇÃO,41003350,"",1,30
7454390A587890AEDFFF8F190910704F,2019,ADMINISTRAÇÃO,41008051,"",1,28
C5F4FBAEBBCAFE2F970721D9ACFACC16,2019,ADMINISTRAÇÃO,41005642,"",2,30
E6D2FF20BB9A5B703144DAB905F997C2,2019,ADMINISTRAÇÃO,41046815,"",2,49
B2AA015F3546FC01C1B72EC5B9DA7B76,2019,ADMINISTRAÇÃO,40997861,"",2,34
B6059C92EB85B68698A9A83277A8BD0A,2019,ADMINISTRAÇÃO,41004379,"",2,30
D31EB3F485939888CC3AC4EC9A5784D2,2019,ADMINISTRAÇÃO,40995005,"",2,39
FB36C7E66B9973A07B644932AD57C993,2019,ADMINISTRAÇÃO,41004110,"",2,29
AA2338782C8D60A61BFB56517AF17C30,2019,ADMINISTRAÇÃO,40744848,"",1,30
51D838EAFA4FD97D5F7D6D85E9ADF5D5,2019,ADMINISTRAÇÃO,40995407,"",2,38
FDFB617967F6C03ECEF4B89828495E3B,2019,ADMINISTRAÇÃO,41000761,"",2,31
4B449C2E2477FEE7A4C3E4F3F36B5EF7,2019,ADMINISTRAÇÃO,40994596,"",2,31
588C2FAF0E12E8CFBBB3501FCF631D90,2019,ADMINISTRAÇÃO,40996518,"",2,28
97B903203B301339E8B8C322A8528860,2019,ADMINISTRAÇÃO,41002476,"",2,31
7229B60DDAFD4B366CACBC07803AE9D8,2019,ADMINISTRAÇÃO,40744042,"",2,37
774F1F1E3B625760B1EB2D0664534D37,2019,ADMINISTRAÇÃO,40994125,"",2,31
A1893D8DF45B5691286E47984676BE22,2019,ADMINISTRAÇÃO,41007369,"",1,29
C10C2CE9CE493C39D4922E7994F0D71A,2019,ADMINISTRAÇÃO,40993815,"",2,31
5538AE3C1016B15AB1D8F54886D01122,2019,ADMINISTRAÇÃO,41009099,"",2,28
180E53DA1EDFB2AC22C1C1B1EE711DBF,2019,ADMINISTRAÇÃO,41040446,"",2,51
